                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    199,                0.00086,                      1,                      1,                 0.5516,             0.00043408,             0.00043408,             0.00043408
                    200,                0.00087,                      1,                      1,                 0.5516,             0.00043267,             0.00043267,             0.00043267
                    201,                0.00079,                      1,                      1,                 0.5516,             0.00043126,             0.00043126,             0.00043126
                    202,                0.00079,                      1,                      1,                 0.5516,             0.00042984,             0.00042984,             0.00042984
                    203,                0.00069,                      1,                      1,                0.55176,             0.00042843,             0.00042843,             0.00042843
                    204,                0.00077,                      1,                      1,                0.55176,             0.00042701,             0.00042701,             0.00042701
                    205,                0.00072,                      1,                      1,                0.55176,              0.0004256,              0.0004256,              0.0004256
                    206,                0.00081,                      1,                      1,                0.55192,             0.00042419,             0.00042419,             0.00042419
                    207,                  0.001,                      1,                      1,                0.55176,             0.00042277,             0.00042277,             0.00042277
                    208,                0.00079,                      1,                      1,                0.55192,             0.00042136,             0.00042136,             0.00042136
                    209,                0.00095,                      1,                      1,                0.55192,             0.00041995,             0.00041995,             0.00041995
                    210,                0.00069,                      1,                      1,                0.55176,             0.00041853,             0.00041853,             0.00041853
                    211,                0.00077,                      1,                      1,                0.55192,             0.00041712,             0.00041712,             0.00041712
                    212,                0.00057,                      1,                      1,                0.55192,             0.00041571,             0.00041571,             0.00041571
                    213,                0.00074,                      1,                      1,                0.55176,             0.00041429,             0.00041429,             0.00041429
                    214,                 0.0008,                      1,                      1,                0.55192,             0.00041288,             0.00041288,             0.00041288
                    215,                0.00073,                      1,                      1,                 0.5516,             0.00041146,             0.00041146,             0.00041146
                    216,                0.00063,                      1,                      1,                0.55176,             0.00041005,             0.00041005,             0.00041005
                    217,                0.00083,                      1,                      1,                 0.5516,             0.00040864,             0.00040864,             0.00040864
                    218,                0.00065,                      1,                      1,                 0.5516,             0.00040722,             0.00040722,             0.00040722
                    219,                0.00065,                      1,                      1,                 0.5516,             0.00040581,             0.00040581,             0.00040581
                    220,                0.00107,                      1,                      1,                 0.5516,              0.0004044,              0.0004044,              0.0004044
                    221,                0.00075,                      1,                      1,                 0.5516,             0.00040298,             0.00040298,             0.00040298
                    222,                0.00068,                      1,                      1,                 0.5516,             0.00040157,             0.00040157,             0.00040157
                    223,                0.00074,                      1,                      1,                 0.5516,             0.00040015,             0.00040015,             0.00040015
                    224,                0.00082,                      1,                      1,                 0.5516,             0.00039874,             0.00039874,             0.00039874
                    225,                0.00095,                      1,                      1,                 0.5516,             0.00039733,             0.00039733,             0.00039733
                    226,                0.00065,                      1,                      1,                 0.5516,             0.00039591,             0.00039591,             0.00039591
                    227,                0.00079,                      1,                      1,                 0.5516,              0.0003945,              0.0003945,              0.0003945
                    228,                0.00071,                      1,                      1,                0.55176,             0.00039309,             0.00039309,             0.00039309
                    229,                0.00067,                      1,                      1,                0.55176,             0.00039167,             0.00039167,             0.00039167
                    230,                0.00067,                      1,                      1,                0.55176,             0.00039026,             0.00039026,             0.00039026
                    231,                0.00083,                      1,                      1,                 0.5516,             0.00038884,             0.00038884,             0.00038884
                    232,                0.00084,                      1,                      1,                 0.5516,             0.00038743,             0.00038743,             0.00038743
                    233,                 0.0008,                      1,                      1,                 0.5516,             0.00038602,             0.00038602,             0.00038602
                    234,                0.00065,                      1,                      1,                0.55176,              0.0003846,              0.0003846,              0.0003846
                    235,                0.00081,                      1,                      1,                 0.5516,             0.00038319,             0.00038319,             0.00038319
                    236,                0.00068,                      1,                      1,                0.55176,             0.00038178,             0.00038178,             0.00038178
                    237,                0.00074,                      1,                      1,                0.55176,             0.00038036,             0.00038036,             0.00038036
                    238,                0.00071,                      1,                      1,                0.55176,             0.00037895,             0.00037895,             0.00037895
                    239,                 0.0006,                      1,                      1,                0.55176,             0.00037753,             0.00037753,             0.00037753
                    240,                0.00069,                      1,                      1,                0.55176,             0.00037612,             0.00037612,             0.00037612
                    241,                0.00054,                      1,                      1,                0.55192,             0.00037471,             0.00037471,             0.00037471
                    242,                0.00077,                      1,                      1,                0.55176,             0.00037329,             0.00037329,             0.00037329
                    243,                0.00071,                      1,                      1,                0.55176,             0.00037188,             0.00037188,             0.00037188
                    244,                0.00061,                      1,                      1,                0.55176,             0.00037047,             0.00037047,             0.00037047
                    245,                0.00079,                      1,                      1,                0.55176,             0.00036905,             0.00036905,             0.00036905
                    246,                0.00087,                      1,                      1,                 0.5516,             0.00036764,             0.00036764,             0.00036764
                    247,                0.00073,                      1,                      1,                 0.5516,             0.00036622,             0.00036622,             0.00036622
                    248,                 0.0007,                      1,                      1,                 0.5516,             0.00036481,             0.00036481,             0.00036481
                    249,                0.00062,                      1,                      1,                 0.5516,              0.0003634,              0.0003634,              0.0003634
                    250,                0.00074,                      1,                      1,                 0.5516,             0.00036198,             0.00036198,             0.00036198
                    251,                 0.0006,                      1,                      1,                0.55176,             0.00036057,             0.00036057,             0.00036057
                    252,                 0.0007,                      1,                      1,                0.55192,             0.00035916,             0.00035916,             0.00035916
                    253,                0.00058,                      1,                      1,                0.55192,             0.00035774,             0.00035774,             0.00035774
                    254,                0.00072,                      1,                      1,                 0.5516,             0.00035633,             0.00035633,             0.00035633
                    255,                 0.0005,                      1,                      1,                 0.5516,             0.00035492,             0.00035492,             0.00035492
                    256,                0.00071,                      1,                      1,                 0.5516,              0.0003535,              0.0003535,              0.0003535
                    257,                0.00078,                      1,                      1,                 0.5516,             0.00035209,             0.00035209,             0.00035209
                    258,                0.00064,                      1,                      1,                 0.5516,             0.00035067,             0.00035067,             0.00035067
                    259,                0.00058,                      1,                      1,                 0.5516,             0.00034926,             0.00034926,             0.00034926
                    260,                0.00066,                      1,                      1,                 0.5516,             0.00034785,             0.00034785,             0.00034785
                    261,                0.00063,                      1,                      1,                 0.5516,             0.00034643,             0.00034643,             0.00034643
                    262,                0.00056,                      1,                      1,                0.55192,             0.00034502,             0.00034502,             0.00034502
                    263,                0.00067,                      1,                      1,                0.55192,             0.00034361,             0.00034361,             0.00034361
                    264,                0.00052,                      1,                      1,                0.55192,             0.00034219,             0.00034219,             0.00034219
                    265,                0.00072,                      1,                      1,                 0.5516,             0.00034078,             0.00034078,             0.00034078
                    266,                0.00055,                      1,                      1,                 0.5516,             0.00033936,             0.00033936,             0.00033936
                    267,                0.00059,                      1,                      1,                 0.5516,             0.00033795,             0.00033795,             0.00033795
                    268,                0.00064,                      1,                      1,                 0.5516,             0.00033654,             0.00033654,             0.00033654
                    269,                0.00064,                      1,                      1,                 0.5516,             0.00033512,             0.00033512,             0.00033512
                    270,                0.00054,                      1,                      1,                 0.5516,             0.00033371,             0.00033371,             0.00033371
                    271,                0.00075,                      1,                      1,                 0.5516,              0.0003323,              0.0003323,              0.0003323
                    272,                 0.0005,                      1,                      1,                 0.5516,             0.00033088,             0.00033088,             0.00033088
                    273,                0.00067,                      1,                      1,                0.55192,             0.00032947,             0.00032947,             0.00032947
                    274,                0.00055,                      1,                      1,                0.55192,             0.00032805,             0.00032805,             0.00032805
                    275,                0.00058,                      1,                      1,                0.55192,             0.00032664,             0.00032664,             0.00032664
                    276,                0.00063,                      1,                      1,                 0.5516,             0.00032523,             0.00032523,             0.00032523
                    277,                0.00079,                      1,                      1,                 0.5516,             0.00032381,             0.00032381,             0.00032381
                    278,                 0.0007,                      1,                      1,                 0.5516,              0.0003224,              0.0003224,              0.0003224
                    279,                0.00049,                      1,                      1,                0.55176,             0.00032099,             0.00032099,             0.00032099
                    280,                0.00054,                      1,                      1,                0.55176,             0.00031957,             0.00031957,             0.00031957
                    281,                0.00092,                      1,                      1,                0.55176,             0.00031816,             0.00031816,             0.00031816
                    282,                0.00046,                      1,                      1,                0.55176,             0.00031674,             0.00031674,             0.00031674
                    283,                0.00054,                      1,                      1,                0.55176,             0.00031533,             0.00031533,             0.00031533
                    284,                0.00058,                      1,                      1,                0.55176,             0.00031392,             0.00031392,             0.00031392
                    285,                0.00055,                      1,                      1,                0.55176,              0.0003125,              0.0003125,              0.0003125
                    286,                0.00053,                      1,                      1,                0.55176,             0.00031109,             0.00031109,             0.00031109
                    287,                0.00053,                      1,                      1,                 0.5516,             0.00030968,             0.00030968,             0.00030968
                    288,                0.00069,                      1,                      1,                 0.5516,             0.00030826,             0.00030826,             0.00030826
                    289,                0.00069,                      1,                      1,                 0.5516,             0.00030685,             0.00030685,             0.00030685
